section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
site_energy,site_energy.clothes_drying,Clothes Drying,as_drawn_envelope,As-Drawn Envelope,Clothes Drying,kWh,12.224295,428
site_energy,site_energy.clothes_drying,Clothes Drying,basic_erv,+ Basic ERV,Clothes Drying,kWh,12.224295,428
site_energy,site_energy.clothes_drying,Clothes Drying,elec_heat_pumps,+ Elec. Heat Pumps,Clothes Drying,kWh,12.224295,428
site_energy,site_energy.clothes_drying,Clothes Drying,passive_house,Passive House,Clothes Drying,kWh,12.224295,428
site_energy,site_energy.refrigerator,Refrigerator,code_minimum,Code Minimum,Refrigerator,kWh,730,429
site_energy,site_energy.refrigerator,Refrigerator,improved_envelope,Improved Envelope,Refrigerator,kWh,730,429
site_energy,site_energy.refrigerator,Refrigerator,as_drawn_envelope,As-Drawn Envelope,Refrigerator,kWh,730,429
site_energy,site_energy.refrigerator,Refrigerator,basic_erv,+ Basic ERV,Refrigerator,kWh,730,429
site_energy,site_energy.refrigerator,Refrigerator,elec_heat_pumps,+ Elec. Heat Pumps,Refrigerator,kWh,730,429
site_energy,site_energy.refrigerator,Refrigerator,passive_house,Passive House,Refrigerator,kWh,730,429
site_energy,site_energy.cooking,Cooking,code_minimum,Code Minimum,Cooking,kWh,0,430
site_energy,site_energy.cooking,Cooking,improved_envelope,Improved Envelope,Cooking,kWh,0,430
site_energy,site_energy.cooking,Cooking,as_drawn_envelope,As-Drawn Envelope,Cooking,kWh,0,430
site_energy,site_energy.cooking,Cooking,basic_erv,+ Basic ERV,Cooking,kWh,0,430
site_energy,site_energy.cooking,Cooking,elec_heat_pumps,+ Elec. Heat Pumps,Cooking,kWh,0,430
site_energy,site_energy.cooking,Cooking,passive_house,Passive House,Cooking,kWh,0,430
site_energy,site_energy.phi_lighting,PHI Lighting,code_minimum,Code Minimum,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_lighting,PHI Lighting,improved_envelope,Improved Envelope,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_lighting,PHI Lighting,as_drawn_envelope,As-Drawn Envelope,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_lighting,PHI Lighting,basic_erv,+ Basic ERV,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_lighting,PHI Lighting,elec_heat_pumps,+ Elec. Heat Pumps,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_lighting,PHI Lighting,passive_house,Passive House,PHI Lighting,kWh,0,431
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,code_minimum,Code Minimum,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,improved_envelope,Improved Envelope,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,as_drawn_envelope,As-Drawn Envelope,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,basic_erv,+ Basic ERV,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,elec_heat_pumps,+ Elec. Heat Pumps,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_consumer_elec,PHI Consumer Elec.,passive_house,Passive House,PHI Consumer Elec.,kWh,1062.39318687,432
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,code_minimum,Code Minimum,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,improved_envelope,Improved Envelope,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,as_drawn_envelope,As-Drawn Envelope,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,basic_erv,+ Basic ERV,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,elec_heat_pumps,+ Elec. Heat Pumps,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phi_small_appliances,PHI Small Appliances,passive_house,Passive House,PHI Small Appliances,kWh,97.7715,433
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,code_minimum,Code Minimum,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,improved_envelope,Improved Envelope,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,as_drawn_envelope,As-Drawn Envelope,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,basic_erv,+ Basic ERV,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,elec_heat_pumps,+ Elec. Heat Pumps,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_int_lighting,Phius Int. Lighting,passive_house,Passive House,Phius Int. Lighting,kWh,0,434
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,code_minimum,Code Minimum,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,improved_envelope,Improved Envelope,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,as_drawn_envelope,As-Drawn Envelope,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,basic_erv,+ Basic ERV,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,elec_heat_pumps,+ Elec. Heat Pumps,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_ext_lighting,Phius Ext. Lighting,passive_house,Passive House,Phius Ext. Lighting,kWh,0,435
site_energy,site_energy.phius_mel,Phius MEL,code_minimum,Code Minimum,Phius MEL,kWh,0,436
site_energy,site_energy.phius_mel,Phius MEL,improved_envelope,Improved Envelope,Phius MEL,kWh,0,436
site_energy,site_energy.phius_mel,Phius MEL,as_drawn_envelope,As-Drawn Envelope,Phius MEL,kWh,0,436
site_energy,site_energy.phius_mel,Phius MEL,basic_erv,+ Basic ERV,Phius MEL,kWh,0,436
site_energy,site_energy.phius_mel,Phius MEL,elec_heat_pumps,+ Elec. Heat Pumps,Phius MEL,kWh,0,436
site_energy,site_energy.phius_mel,Phius MEL,passive_house,Passive House,Phius MEL,kWh,0,436
site_energy,site_energy.aux_elec,Aux Elec,code_minimum,Code Minimum,Aux Elec,kWh,4554.84237575,437
site_energy,site_energy.aux_elec,Aux Elec,improved_envelope,Improved Envelope,Aux Elec,kWh,4139.39498024,437
site_energy,site_energy.aux_elec,Aux Elec,as_drawn_envelope,As-Drawn Envelope,Aux Elec,kWh,4139.39498024,437
site_energy,site_energy.aux_elec,Aux Elec,basic_erv,+ Basic ERV,Aux Elec,kWh,5258.06196725,437
site_energy,site_energy.aux_elec,Aux Elec,elec_heat_pumps,+ Elec. Heat Pumps,Aux Elec,kWh,5258.06196725,437
site_energy,site_energy.aux_elec,Aux Elec,passive_house,Passive House,Aux Elec,kWh,503.077747631,437
site_energy,site_energy.solar_pv,Solar PV,code_minimum,Code Minimum,Solar PV,kWh,0,438
site_energy,site_energy.solar_pv,Solar PV,improved_envelope,Improved Envelope,Solar PV,kWh,0,438
site_energy,site_energy.solar_pv,Solar PV,as_drawn_envelope,As-Drawn Envelope,Solar PV,kWh,0,438
site_energy,site_energy.solar_pv,Solar PV,basic_erv,+ Basic ERV,Solar PV,kWh,0,438
site_energy,site_energy.solar_pv,Solar PV,elec_heat_pumps,+ Elec. Heat Pumps,Solar PV,kWh,0,438
site_energy,site_energy.solar_pv,Solar PV,passive_house,Passive House,Solar PV,kWh,0,438
primary_energy,primary_energy.heating,Heating,code_minimum,Code Minimum,Heating,kWh,46543.918294,441
primary_energy,primary_energy.heating,Heating,improved_envelope,Improved Envelope,Heating,kWh,33308.4044034,441
primary_energy,primary_energy.heating,Heating,as_drawn_envelope,As-Drawn Envelope,Heating,kWh,23499.1964968,441
primary_energy,primary_energy.heating,Heating,basic_erv,+ Basic ERV,Heating,kWh,21097.5285683,441
primary_energy,primary_energy.heating,Heating,elec_heat_pumps,+ Elec. Heat Pumps,Heating,kWh,26522.8351151,441
primary_energy,primary_energy.heating,Heating,passive_house,Passive House,Heating,kWh,19930.0234396,441
primary_energy,primary_energy.cooling,Cooling,code_minimum,Code Minimum,Cooling,kWh,8053.58564685,442
primary_energy,primary_energy.cooling,Cooling,improved_envelope,Improved Envelope,Cooling,kWh,7274.615903,442
primary_energy,primary_energy.cooling,Cooling,as_drawn_envelope,As-Drawn Envelope,Cooling,kWh,6990.50122993,442
primary_energy,primary_energy.cooling,Cooling,basic_erv,+ Basic ERV,Cooling,kWh,7965.55925033,442
primary_energy,primary_energy.cooling,Cooling,elec_heat_pumps,+ Elec. Heat Pumps,Cooling,kWh,7965.55925033,442
primary_energy,primary_energy.cooling,Cooling,passive_house,Passive House,Cooling,kWh,5911.80741689,442
primary_energy,primary_energy.dhw,DHW,code_minimum,Code Minimum,DHW,kWh,8864.89353132,443
primary_energy,primary_energy.dhw,DHW,improved_envelope,Improved Envelope,DHW,kWh,8875.53508681,443
primary_energy,primary_energy.dhw,DHW,as_drawn_envelope,As-Drawn Envelope,DHW,kWh,8894.30818241,443
primary_energy,primary_energy.dhw,DHW,basic_erv,+ Basic ERV,DHW,kWh,8907.92564891,443
primary_energy,primary_energy.dhw,DHW,elec_heat_pumps,+ Elec. Heat Pumps,DHW,kWh,8110.47926048,443
primary_energy,primary_energy.dhw,DHW,passive_house,Passive House,DHW,kWh,8125.62079903,443
primary_energy,primary_energy.dishwashing,Dishwashing,code_minimum,Code Minimum,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.dishwashing,Dishwashing,improved_envelope,Improved Envelope,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.dishwashing,Dishwashing,as_drawn_envelope,As-Drawn Envelope,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.dishwashing,Dishwashing,basic_erv,+ Basic ERV,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.dishwashing,Dishwashing,elec_heat_pumps,+ Elec. Heat Pumps,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.dishwashing,Dishwashing,passive_house,Passive House,Dishwashing,kWh,1028.8005,444
primary_energy,primary_energy.clothes_washing,Clothes Washing,code_minimum,Code Minimum,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_washing,Clothes Washing,improved_envelope,Improved Envelope,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_washing,Clothes Washing,as_drawn_envelope,As-Drawn Envelope,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_washing,Clothes Washing,basic_erv,+ Basic ERV,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_washing,Clothes Washing,elec_heat_pumps,+ Elec. Heat Pumps,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_washing,Clothes Washing,passive_house,Passive House,Clothes Washing,kWh,1348.974666,445
primary_energy,primary_energy.clothes_drying,Clothes Drying,code_minimum,Code Minimum,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.clothes_drying,Clothes Drying,improved_envelope,Improved Envelope,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.clothes_drying,Clothes Drying,as_drawn_envelope,As-Drawn Envelope,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.clothes_drying,Clothes Drying,basic_erv,+ Basic ERV,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.clothes_drying,Clothes Drying,elec_heat_pumps,+ Elec. Heat Pumps,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.clothes_drying,Clothes Drying,passive_house,Passive House,Clothes Drying,kWh,31.783167,446
primary_energy,primary_energy.refrigerator,Refrigerator,code_minimum,Code Minimum,Refrigerator,kWh,1898,447
primary_energy,primary_energy.refrigerator,Refrigerator,improved_envelope,Improved Envelope,Refrigerator,kWh,1898,447
primary_energy,primary_energy.refrigerator,Refrigerator,as_drawn_envelope,As-Drawn Envelope,Refrigerator,kWh,1898,447
primary_energy,primary_energy.refrigerator,Refrigerator,basic_erv,+ Basic ERV,Refrigerator,kWh,1898,447
primary_energy,primary_energy.refrigerator,Refrigerator,elec_heat_pumps,+ Elec. Heat Pumps,Refrigerator,kWh,1898,447
primary_energy,primary_energy.refrigerator,Refrigerator,passive_house,Passive House,Refrigerator,kWh,1898,447
primary_energy,primary_energy.cooking,Cooking,code_minimum,Code Minimum,Cooking,kWh,0,448
primary_energy,primary_energy.cooking,Cooking,improved_envelope,Improved Envelope,Cooking,kWh,0,448
primary_energy,primary_energy.cooking,Cooking,as_drawn_envelope,As-Drawn Envelope,Cooking,kWh,0,448
primary_energy,primary_energy.cooking,Cooking,basic_erv,+ Basic ERV,Cooking,kWh,0,448
primary_energy,primary_energy.cooking,Cooking,elec_heat_pumps,+ Elec. Heat Pumps,Cooking,kWh,0,448
primary_energy,primary_energy.cooking,Cooking,passive_house,Passive House,Cooking,kWh,0,448
primary_energy,primary_energy.phi_lighting,PHI Lighting,code_minimum,Code Minimum,PHI Lighting,kWh,0,449
primary_energy,primary_energy.phi_lighting,PHI Lighting,improved_envelope,Improved Envelope,PHI Lighting,kWh,0,449
primary_energy,primary_energy.phi_lighting,PHI Lighting,as_drawn_envelope,As-Drawn Envelope,PHI Lighting,kWh,0,449
