metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
phius_net_source_energy,solar_pv,code_minimum,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,code_minimum,kWh,66014.5581642,primary_energy_renewable.heating,Heating,520
per,cooling,code_minimum,kWh,3814.95542927,primary_energy_renewable.cooling,Cooling,521
per,dhw,code_minimum,kWh,14952.4505863,primary_energy_renewable.dhw,DHW,522
per,dishwashing,code_minimum,kWh,260.892425205,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,code_minimum,kWh,340.960904264,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,code_minimum,kWh,15.1726063129,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,code_minimum,kWh,876,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,code_minimum,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,code_minimum,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,code_minimum,kWh,731.965718533,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,code_minimum,kWh,78.7621791762,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,code_minimum,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,code_minimum,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,code_minimum,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,code_minimum,kWh,0,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,code_minimum,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,code_minimum,tonsCO2e,6.93758009559,co2e.heating,Heating,502
co2e,cooling,code_minimum,tonsCO2e,0.757346425181,co2e.cooling,Cooling,503
co2e,dhw,code_minimum,tonsCO2e,1.59273912697,co2e.dhw,DHW,504
co2e,dishwashing,code_minimum,tonsCO2e,0.0625825618872,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,code_minimum,tonsCO2e,0.0817892925617,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,code_minimum,tonsCO2e,0.00363958659521,co2e.clothes_drying,Clothes Drying,507
